Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013695,Whitewebbs,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,3
E05013695,Whitewebbs,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,17
E05013695,Whitewebbs,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,18
E05013695,Whitewebbs,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,15
E05013695,Whitewebbs,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,L14.2: Long-term unemployed,4
E05013695,Whitewebbs,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11,L15: Full-time students,21
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,1444
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",1,L1 and L2: Large employers and higher managerial and administrative occupations,315
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",2,L3: Higher professional occupations,604
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1489
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",4,L7: Intermediate occupations,905
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",5,L8 and L9: Small employers and own account workers,757
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",6,L10 and L11: Lower supervisory and technical occupations,267
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L12: Semi-routine occupations,605
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L13: Routine occupations,525
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L14.1: Never worked,413
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",10,L14.2: Long-term unemployed,80
E05013695,Whitewebbs,13,"White: English, Welsh, Scottish, Northern Irish or British",11,L15: Full-time students,297
E05013695,Whitewebbs,14,White: Irish,-8,Does not apply,33
E05013695,Whitewebbs,14,White: Irish,1,L1 and L2: Large employers and higher managerial and administrative occupations,19
E05013695,Whitewebbs,14,White: Irish,2,L3: Higher professional occupations,25
E05013695,Whitewebbs,14,White: Irish,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",83
E05013695,Whitewebbs,14,White: Irish,4,L7: Intermediate occupations,36
E05013695,Whitewebbs,14,White: Irish,5,L8 and L9: Small employers and own account workers,32
E05013695,Whitewebbs,14,White: Irish,6,L10 and L11: Lower supervisory and technical occupations,12
E05013695,Whitewebbs,14,White: Irish,7,L12: Semi-routine occupations,27
E05013695,Whitewebbs,14,White: Irish,8,L13: Routine occupations,26
E05013695,Whitewebbs,14,White: Irish,9,L14.1: Never worked,22
E05013695,Whitewebbs,14,White: Irish,10,L14.2: Long-term unemployed,2
E05013695,Whitewebbs,14,White: Irish,11,L15: Full-time students,6
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,-8,Does not apply,0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,2,L3: Higher professional occupations,0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,4,L7: Intermediate occupations,0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,5,L8 and L9: Small employers and own account workers,0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,6,L10 and L11: Lower supervisory and technical occupations,0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,7,L12: Semi-routine occupations,0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,8,L13: Routine occupations,0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,9,L14.1: Never worked,0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,10,L14.2: Long-term unemployed,0
E05013695,Whitewebbs,15,White: Gypsy or Irish Traveller,11,L15: Full-time students,1
E05013695,Whitewebbs,16,White: Roma,-8,Does not apply,5
E05013695,Whitewebbs,16,White: Roma,1,L1 and L2: Large employers and higher managerial and administrative occupations,1
E05013695,Whitewebbs,16,White: Roma,2,L3: Higher professional occupations,0
E05013695,Whitewebbs,16,White: Roma,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1
E05013695,Whitewebbs,16,White: Roma,4,L7: Intermediate occupations,0
E05013695,Whitewebbs,16,White: Roma,5,L8 and L9: Small employers and own account workers,0
E05013695,Whitewebbs,16,White: Roma,6,L10 and L11: Lower supervisory and technical occupations,1
E05013695,Whitewebbs,16,White: Roma,7,L12: Semi-routine occupations,2
E05013695,Whitewebbs,16,White: Roma,8,L13: Routine occupations,1
E05013695,Whitewebbs,16,White: Roma,9,L14.1: Never worked,1
E05013695,Whitewebbs,16,White: Roma,10,L14.2: Long-term unemployed,0
E05013695,Whitewebbs,16,White: Roma,11,L15: Full-time students,1
E05013695,Whitewebbs,17,White: Other White,-8,Does not apply,285
E05013695,Whitewebbs,17,White: Other White,1,L1 and L2: Large employers and higher managerial and administrative occupations,50
E05013695,Whitewebbs,17,White: Other White,2,L3: Higher professional occupations,105
E05013695,Whitewebbs,17,White: Other White,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",205
E05013695,Whitewebbs,17,White: Other White,4,L7: Intermediate occupations,101
E05013695,Whitewebbs,17,White: Other White,5,L8 and L9: Small employers and own account workers,261
E05013695,Whitewebbs,17,White: Other White,6,L10 and L11: Lower supervisory and technical occupations,61
E05013695,Whitewebbs,17,White: Other White,7,L12: Semi-routine occupations,117
E05013695,Whitewebbs,17,White: Other White,8,L13: Routine occupations,155
E05013695,Whitewebbs,17,White: Other White,9,L14.1: Never worked,135
E05013695,Whitewebbs,17,White: Other White,10,L14.2: Long-term unemployed,28
E05013695,Whitewebbs,17,White: Other White,11,L15: Full-time students,95
E05013695,Whitewebbs,18,Other ethnic group: Arab,-8,Does not apply,22
E05013695,Whitewebbs,18,Other ethnic group: Arab,1,L1 and L2: Large employers and higher managerial and administrative occupations,2
E05013695,Whitewebbs,18,Other ethnic group: Arab,2,L3: Higher professional occupations,4
E05013695,Whitewebbs,18,Other ethnic group: Arab,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",11
E05013695,Whitewebbs,18,Other ethnic group: Arab,4,L7: Intermediate occupations,3
E05013695,Whitewebbs,18,Other ethnic group: Arab,5,L8 and L9: Small employers and own account workers,6
E05013695,Whitewebbs,18,Other ethnic group: Arab,6,L10 and L11: Lower supervisory and technical occupations,5
E05013695,Whitewebbs,18,Other ethnic group: Arab,7,L12: Semi-routine occupations,3
E05013695,Whitewebbs,18,Other ethnic group: Arab,8,L13: Routine occupations,5
E05013695,Whitewebbs,18,Other ethnic group: Arab,9,L14.1: Never worked,6
E05013695,Whitewebbs,18,Other ethnic group: Arab,10,L14.2: Long-term unemployed,4
E05013695,Whitewebbs,18,Other ethnic group: Arab,11,L15: Full-time students,3
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,-8,Does not apply,188
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,1,L1 and L2: Large employers and higher managerial and administrative occupations,23
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,2,L3: Higher professional occupations,42
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",95
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,4,L7: Intermediate occupations,59
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,5,L8 and L9: Small employers and own account workers,95
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,6,L10 and L11: Lower supervisory and technical occupations,46
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,7,L12: Semi-routine occupations,56
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,8,L13: Routine occupations,81
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,9,L14.1: Never worked,108
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,10,L14.2: Long-term unemployed,8
E05013695,Whitewebbs,19,Other ethnic group: Any other ethnic group,11,L15: Full-time students,121
E05013696,Winchmore Hill,-8,Does not apply,-8,Does not apply,0
E05013696,Winchmore Hill,-8,Does not apply,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013696,Winchmore Hill,-8,Does not apply,2,L3: Higher professional occupations,0
E05013696,Winchmore Hill,-8,Does not apply,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013696,Winchmore Hill,-8,Does not apply,4,L7: Intermediate occupations,0
E05013696,Winchmore Hill,-8,Does not apply,5,L8 and L9: Small employers and own account workers,0
E05013696,Winchmore Hill,-8,Does not apply,6,L10 and L11: Lower supervisory and technical occupations,0
E05013696,Winchmore Hill,-8,Does not apply,7,L12: Semi-routine occupations,0
E05013696,Winchmore Hill,-8,Does not apply,8,L13: Routine occupations,0
E05013696,Winchmore Hill,-8,Does not apply,9,L14.1: Never worked,0
E05013696,Winchmore Hill,-8,Does not apply,10,L14.2: Long-term unemployed,0
E05013696,Winchmore Hill,-8,Does not apply,11,L15: Full-time students,0
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,17
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,L1 and L2: Large employers and higher managerial and administrative occupations,3
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,L3: Higher professional occupations,5
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",15
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,L7: Intermediate occupations,3
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,L8 and L9: Small employers and own account workers,2
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,L10 and L11: Lower supervisory and technical occupations,1
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,L12: Semi-routine occupations,1
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8,L13: Routine occupations,0
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9,L14.1: Never worked,3
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10,L14.2: Long-term unemployed,1
E05013696,Winchmore Hill,1,"Asian, Asian British or Asian Welsh: Bangladeshi",11,L15: Full-time students,8
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",-8,Does not apply,9
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",1,L1 and L2: Large employers and higher managerial and administrative occupations,4
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",2,L3: Higher professional occupations,14
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",14
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",4,L7: Intermediate occupations,14
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",5,L8 and L9: Small employers and own account workers,5
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",6,L10 and L11: Lower supervisory and technical occupations,0
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",7,L12: Semi-routine occupations,16
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",8,L13: Routine occupations,5
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",9,L14.1: Never worked,3
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",10,L14.2: Long-term unemployed,0
E05013696,Winchmore Hill,2,"Asian, Asian British or Asian Welsh: Chinese",11,L15: Full-time students,6
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",-8,Does not apply,52
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",1,L1 and L2: Large employers and higher managerial and administrative occupations,27
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",2,L3: Higher professional occupations,84
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",75
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",4,L7: Intermediate occupations,36
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",5,L8 and L9: Small employers and own account workers,49
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",6,L10 and L11: Lower supervisory and technical occupations,3
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",7,L12: Semi-routine occupations,18
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",8,L13: Routine occupations,10
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",9,L14.1: Never worked,16
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",10,L14.2: Long-term unemployed,6
E05013696,Winchmore Hill,3,"Asian, Asian British or Asian Welsh: Indian",11,L15: Full-time students,21
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",-8,Does not apply,23
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",1,L1 and L2: Large employers and higher managerial and administrative occupations,4
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",2,L3: Higher professional occupations,17
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",14
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",4,L7: Intermediate occupations,3
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",5,L8 and L9: Small employers and own account workers,10
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",6,L10 and L11: Lower supervisory and technical occupations,0
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",7,L12: Semi-routine occupations,1
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",8,L13: Routine occupations,6
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",9,L14.1: Never worked,10
E05013696,Winchmore Hill,4,"Asian, Asian British or Asian Welsh: Pakistani",10,L14.2: Long-term unemployed,1
